TransactionID,isFraud_pred,fraud_proba
3663549,0,0.0028
3663550,0,0.0003
3663551,0,0.0016
3663552,0,0.0005
3663553,0,0.0
3663554,0,1e-04
3663555,0,0.0018
3663556,0,0.0175
3663557,0,0.0
3663558,0,0.0069
3663559,0,0.0064
3663560,0,0.0044
3663561,0,0.001
3663562,0,0.0065
3663563,0,0.0002
3663564,0,0.0046
3663565,0,0.0059
3663566,0,0.0005
3663567,0,0.0012
3663568,0,0.0004
3663569,0,0.0002
3663570,0,0.0024
3663571,0,0.0006
3663572,0,0.0
3663573,0,0.0005
3663574,0,0.0045
3663575,0,0.0004
3663576,0,0.0031
3663577,0,0.0
3663578,0,0.0005
3663579,0,0.0477
3663580,0,0.0063
3663581,0,0.0234
3663582,0,0.0007
3663583,0,0.0031
3663584,0,0.0158
3663585,0,0.0032
3663586,0,0.0668
3663587,0,0.0132
3663588,0,0.0002
3663589,0,0.0093
3663590,0,0.0007
3663591,0,0.0008
3663592,0,0.0041
3663593,0,0.0002
3663594,0,0.009
3663595,0,0.0009
3663596,0,0.0004
3663597,0,0.0273
3663598,0,0.007
3663599,0,0.0003
3663600,0,0.0003
3663601,0,0.0055
3663602,1,0.7507
3663603,0,0.0009
3663604,0,0.0006
3663605,0,0.0045
3663606,0,0.0006
3663607,0,0.0052
3663608,0,0.0
3663609,0,0.0265
3663610,0,0.0007
3663611,0,0.0
3663612,0,0.0006
3663613,0,0.0029
3663614,0,0.0119
3663615,0,0.006
3663616,0,0.0009
3663617,0,0.0015
3663618,0,0.0009
3663619,0,0.0006
3663620,0,0.0003
3663621,0,0.0
3663622,0,0.0144
3663623,0,0.0006
3663624,0,0.0038
3663625,0,0.0004
3663626,0,0.0072
3663627,0,0.0105
3663628,0,0.0025
3663629,0,0.015
3663630,0,0.0016
3663631,0,0.0044
3663632,0,0.0017
3663633,0,0.0005
3663634,0,0.0017
3663635,0,0.0006
3663636,0,0.005
3663637,0,0.0063
3663638,0,0.007
3663639,0,0.0009
3663640,0,0.0004
3663641,0,0.001
3663642,0,0.0107
3663643,0,0.0008
3663644,0,0.0011
3663645,0,0.0009
3663646,0,0.3672
3663647,0,0.0012
3663648,0,0.0009
3663649,0,0.0034
3663650,0,0.2247
3663651,0,0.0019
3663652,0,0.0022
3663653,0,0.0
3663654,0,0.0006
3663655,0,0.0673
3663656,0,0.0031
3663657,0,0.0141
3663658,0,0.0053
3663659,0,0.0003
3663660,0,0.0021
3663661,0,0.0102
3663662,0,0.002
3663663,0,0.0637
3663664,0,0.0039
3663665,0,0.0038
3663666,0,0.0005
3663667,0,0.0002
3663668,0,0.0022
3663669,0,0.0127
3663670,0,0.0037
3663671,0,0.0007
3663672,0,0.3045
